name,address,district,state,phone,lat,lon
Janaushadhi Kendra Lucknow KGMU,"King George Medical University, Chowk, Lucknow",Lucknow,Uttar Pradesh,9415005001,26.8702,80.9145
Janaushadhi Kendra Bijnor District Hospital,"District Hospital, Civil Lines, Bijnor",Bijnor,Uttar Pradesh,9412055002,29.3729,78.1351
Janaushadhi Kendra Meerut Medical College,"Medical College Road, Meerut",Meerut,Uttar Pradesh,9412055003,28.9845,77.7064
Janaushadhi Kendra Allahabad MLN,"Motilal Nehru Medical College, Prayagraj",Prayagraj,Uttar Pradesh,9415055004,25.4358,81.8463
Janaushadhi Kendra Varanasi BHU,"BHU Hospital Campus, Varanasi",Varanasi,Uttar Pradesh,9415055005,25.2677,82.9913
Janaushadhi Kendra Patna PMCH,"PMCH Campus, Patna",Patna,Bihar,9430055006,25.6093,85.1376
Janaushadhi Kendra Bhopal Hamidia,"Hamidia Hospital Campus, Bhopal",Bhopal,Madhya Pradesh,9425055007,23.2602,77.4126
Janaushadhi Kendra Indore MGMMC,"MGMMC Campus, Indore",Indore,Madhya Pradesh,9425055008,22.7196,75.8577
Janaushadhi Kendra Jaipur SMS,"SMS Hospital Campus, Jaipur",Jaipur,Rajasthan,9414055009,26.9124,75.7873
Janaushadhi Kendra Delhi AIIMS,"AIIMS Campus, Ansari Nagar, New Delhi",New Delhi,Delhi,9810055010,28.5672,77.2100
Janaushadhi Kendra Delhi Safdarjung,"Safdarjung Hospital, Ring Road",New Delhi,Delhi,9810055011,28.5680,77.2090
Janaushadhi Kendra Gurugram Civil,"Civil Hospital, Sector 10, Gurugram",Gurugram,Haryana,9416055012,28.4595,77.0266
Janaushadhi Kendra Mumbai KEM,"KEM Hospital, Parel",Mumbai,Maharashtra,9820055013,19.0073,72.8410
Janaushadhi Kendra Pune Sassoon,"Sassoon General Hospital, Station Road",Pune,Maharashtra,9820055014,18.5311,73.8786
Janaushadhi Kendra Chennai RGGGH,"Rajiv Gandhi Govt General Hospital, EVR Periyar Salai",Chennai,Tamil Nadu,9444055015,13.0825,80.2755
Janaushadhi Kendra Madurai Govt RH,"Govt Rajaji Hospital, Madurai",Madurai,Tamil Nadu,9444055016,9.9252,78.1198
Janaushadhi Kendra Bengaluru Victoria,"Victoria Hospital, Fort, K R Market",Bengaluru,Karnataka,9844055017,12.9620,77.5740
Janaushadhi Kendra Hyderabad Osmania,"Osmania General Hospital, Afzalgunj",Hyderabad,Telangana,9849055018,17.3791,78.4747
Janaushadhi Kendra Kolkata Medical College,"88 College Street, Kolkata",Kolkata,West Bengal,9831055019,22.5726,88.3639
Janaushadhi Kendra Kolkata SSKM,"SSKM Hospital, AJC Bose Road",Kolkata,West Bengal,9831055020,22.5390,88.3501
Janaushadhi Kendra Guwahati GMCH,"Guwahati Medical College Hospital, Bhangagarh",Guwahati,Assam,9854055021,26.1445,91.7362
Janaushadhi Kendra Chandigarh PGI,"PGIMER Campus, Sector 12, Chandigarh",Chandigarh,Chandigarh,9417055022,30.7656,76.7752
Janaushadhi Kendra Ahmedabad Civil,"Civil Hospital Campus, Asarwa, Ahmedabad",Ahmedabad,Gujarat,9426055023,23.0696,72.6052
Janaushadhi Kendra Surat New Civil,"New Civil Hospital, Majura Gate, Surat",Surat,Gujarat,9426055024,21.1702,72.8311
Janaushadhi Kendra Thiruvananthapuram MCH,"Govt Medical College Hospital",Thiruvananthapuram,Kerala,9447055025,8.5241,76.9366
Janaushadhi Kendra Kochi GH,"Govt General Hospital, Ernakulam",Kochi,Kerala,9447055026,9.9816,76.2999
Janaushadhi Kendra Nagpur GMCH,"Govt Medical College, Nagpur",Nagpur,Maharashtra,9822055027,21.1458,79.0882
Janaushadhi Kendra Ranchi RIMS,"Rajendra Institute of Medical Sciences",Ranchi,Jharkhand,9431055028,23.3441,85.3096
Janaushadhi Kendra Bhubaneswar Capital,"Capital Hospital, Bhubaneswar",Bhubaneswar,Odisha,9437055029,20.2961,85.8245
Janaushadhi Kendra Dehradun GDMC,"Govt Doon Medical College, Patel Nagar",Dehradun,Uttarakhand,9410055030,30.3165,78.0322
