generic_name,strength,dosage_form,mrp_inr,typical_branded_mrp_inr,pmbjp_code
paracetamol,500mg,tablet,2.07,22.00,JA-0001
amoxicillin,500mg,capsule,21.00,98.00,JA-0142
amoxicillin+clavulanic acid,625mg,tablet,38.00,224.00,JA-0148
azithromycin,500mg,tablet,25.50,120.00,JA-0165
cefixime,200mg,tablet,20.00,140.00,JA-0172
ciprofloxacin,500mg,tablet,9.50,56.00,JA-0088
doxycycline,100mg,capsule,4.50,38.00,JA-0095
metronidazole,400mg,tablet,3.20,28.00,JA-0102
cotrimoxazole,960mg,tablet,4.10,32.00,JA-0110
nitrofurantoin,100mg,tablet,8.70,46.00,JA-0111
cephalexin,500mg,capsule,13.50,72.00,JA-0118
ibuprofen,400mg,tablet,2.50,18.00,JA-0015
diclofenac,50mg,tablet,2.90,28.00,JA-0020
aspirin,75mg,tablet,0.35,3.50,JA-0023
atorvastatin,10mg,tablet,3.30,38.00,JA-0205
amlodipine,5mg,tablet,1.10,25.00,JA-0217
enalapril,5mg,tablet,1.50,18.00,JA-0220
losartan,50mg,tablet,4.20,48.00,JA-0223
metoprolol,50mg,tablet,2.40,36.00,JA-0231
furosemide,40mg,tablet,1.20,12.00,JA-0245
hydrochlorothiazide,25mg,tablet,0.80,14.00,JA-0247
metformin,500mg,tablet,1.40,18.00,JA-0312
glimepiride,2mg,tablet,2.70,42.00,JA-0318
levothyroxine,50mcg,tablet,1.20,28.00,JA-0334
prednisolone,10mg,tablet,1.80,14.00,JA-0345
omeprazole,20mg,capsule,2.90,38.00,JA-0356
pantoprazole,40mg,tablet,3.10,68.00,JA-0358
ranitidine,150mg,tablet,1.60,22.00,JA-0362
ondansetron,4mg,tablet,3.80,46.00,JA-0370
loperamide,2mg,capsule,1.20,14.00,JA-0375
salbutamol,100mcg,inhaler,70.00,190.00,JA-0420
budesonide,200mcg,inhaler,160.00,420.00,JA-0425
iron+folic acid,60mg+0.5mg,tablet,1.20,8.00,JA-0501
cetirizine,10mg,tablet,1.10,14.00,JA-0512
chlorpheniramine,4mg,tablet,0.70,8.00,JA-0514
loratadine,10mg,tablet,1.90,26.00,JA-0516
fluconazole,150mg,tablet,8.30,48.00,JA-0608
acyclovir,400mg,tablet,6.40,56.00,JA-0612
carbamazepine,200mg,tablet,2.10,22.00,JA-0720
phenytoin,100mg,tablet,1.50,18.00,JA-0725
